NOME;NOM_PARLAMENTAR;SIG_PARTIDO;UF;CARGO ATUAL;CARGO_PARLAMENTAR_NA_BASE_DE_ESTUDO;FLAG_FACHIN
João Carlos Gonçalves Ribeiro;;;;;;TRUE
Ulisses César Martins de Sousa;;;;;;TRUE
Rodrigo de Holanda Menezes Jucá;;;;;;TRUE
Paulo Vasconcelos;;;;;;TRUE
Eron Bezerra;;;;;;TRUE
Moisés Pinto Gomes;;;;;;TRUE
Humberto Kasper;;;;;;TRUE
Marco Arildo Prates da Cunha;;;;;;TRUE
Vado da Farmácia;;;;;;TRUE
José Feliciano;;;;;;TRUE
