"";"NOM_PROPOSICAO_SF";"NOM_PROPOSICAO_CD";"EMENTA"
"42";"PLS 335/2011";"PL 1615/2015";"ALTERA A REDAÇÃO DO ART. 16 DA LEI Nº 12.414, DE 9 DE JUNHO DE 2011, QUE DISCIPLINA A FORMAÇÃO E CONSULTA A BANCO DE DADOS COM INFORMAÇÕES DE ADIMPLEMENTO, DE PESSOAS NATURAIS OU DE PESSOAS JURÍDICAS, PARA FORMAÇÃO DE HISTÓRICO DE CRÉDITO, DE FORMA A EXCLUIR A RESPONSABILIDADE SOLIDÁRIA DO CONSULENTE QUANTO AOS DANOS MATERIAIS E MORAIS CAUSADOS AO CADASTRADO POR INOBSERVÂNCIA."
"43";"PLS 347/2011";"PL 2880/2015";"INSTITUI O MÊS DE MARÇO COMO O ""MÊS DA POESIA""."
"44";"PLC 76/1997";"PL 3500/1997";"INSTITUI A SEMANA NACIONAL DE COMBATE E PREVENÇÃO AO CANCER DE        
PROSTATA.                                                             
"
"45";"PLS 355/2011";"PL 3077/2011";"DISPÕE SOBRE O REGIME DE TRABALHO DOS EMPREGADOS NAS ATIVIDADES DE OPERAÇÃO, MANUTENÇÃO E OUTRAS NECESSÁRIAS AO FUNCIONAMENTO DAS USINAS NUCLEOELÉTRICAS."
"46";"PLS 352/2011";"PL 3255/2012";"ALTERA A LEI Nº 5.991, DE 17 DE DEZEMBRO DE 1973, ESTABELECENDO A RETENÇÃO DA RECEITA DE MEDICAMENTOS SUJEITOS À PRESCRIÇÃO DE PROFISSIONAIS HABILITADOS."
"47";"PLS 356/2011";"PL 3998/2012";"ALTERA A LEI Nº 9.656, DE 3 DE JUNHO DE 1998, QUE DISPÕE SOBRE OS PLANOS E SEGUROS PRIVADOS DE ASSISTÊNCIA À SAÚDE, PARA INCLUIR OS TRATAMENTOS ANTINEOPLÁSICOS DE USO ORAL ENTRE AS COBERTURAS OBRIGATÓRIAS."
"48";"PLS 357/2011";"PL 5419/2013";"ACRESCENTA O ART. 10-A NA LEI Nº 9.478, DE 6 DE AGOSTO DE 1997, QUE DISPÕE SOBRE A POLÍTICA ENERGÉTICA NACIONAL, PARA DETERMINAR QUE OS POSTOS DE COMBUSTÍVEIS INFORMEM SEUS PREÇOS NA PÁGINA ELETRÔNICA DA AGÊNCIA NACIONAL DE PETRÓLEO (ANP)."
"49";"PLS 360/2011";"PL 5420/2013";"ALTERA A LEI Nº 10.257, DE 10 DE JULHO DE 2001, QUE REGULAMENTA OS ARTS. 182 E 183 DA CONSTITUIÇÃO FEDERAL, ESTABELECE DIRETRIZES GERAIS DA POLÍTICA URBANA E DÁ OUTRAS PROVIDÊNCIAS, DENOMINADO ESTATUTO DA CIDADE, PARA INSTITUIR O DEVER DA UNIÃO DE PRESTAR ASSISTÊNCIA TÉCNICA E FINANCEIRA AOS MUNICÍPIOS PARA ELABORAÇÃO DO PLANO DIRETOR E DE OUTRAS NORMAS DELE DECORRENTES."
"50";"PLS 365/2011";"PL 3951/2012";"DISPÕE SOBRE A ISENÇÃO DO IMPOSTO DE IMPORTAÇÃO E DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS INCIDENTES SOBRE IMPRESSORAS DE CARACTERES BRAILLE."
"51";"PLC 78/1996";"PL 360/1995";"DISPÕE SOBRE A OBRIGATORIEDADE DO USO DE COLETE A PROVA DE BALA POR   
PROFISSIONAIS NAS CONDIÇÕES QUE ESPECIFICA E DA OUTRAS PROVIDENCIAS.  
"
"52";"PLS 374/2011";"PL 3594/2012";"ALTERA AS LEIS Nº 8.212 E 8.213, AMBAS DE 24 DE JULHO DE 1991, PARA DISPOR SOBRE SISTEMA ESPECIAL DE INCLUSÃO PREVIDENCIÁRIA PARA ATENDER ÀS DONAS DE CASA SEM RENDA PRÓPRIA QUE SE DEDIQUEM EXCLUSIVAMENTE AO TRABALHO DOMÉSTICO NO ÂMBITO DE SUA RESIDÊNCIA, PREVISTO NOS §§ 12 E 13 DO ART. 201 DA CONSTITUIÇÃO FEDERAL, E DÁ OUTRAS PROVIDÊNCIAS."
"53";"PLS 370/2011";"PL 3087/2012";"ALTERA A LEI Nº 8.080, DE 19 DE SETEMBRO DE 1990, QUE DISPÕE SOBRE AS CONDIÇÕES PARA A PROMOÇÃO, PROTEÇÃO E RECUPERAÇÃO DA SAÚDE, A ORGANIZAÇÃO E O FUNCIONAMENTO DOS SERVIÇOS CORRESPONDENTES E DÁ OUTRAS PROVIDÊNCIAS, PARA TORNAR EXPLÍCITO QUE A GRATUIDADE É UM PRINCÍPIO DO SISTEMA ÚNICO DE SAÚDE (SUS) E PARA VEDAR A COBRANÇA, POR PARTE DAS UNIDADES DA REDE PRÓPRIA DO SUS, PELA EXECUÇÃO DE AÇÕES DE SAÚDE."
"54";"PLS 372/2011";"PL 4784/2012";"ALTERA A LEI Nº 10.446, DE 8 DE MAIO DE 2002, PARA PREVER A COMPETÊNCIA DA POLÍCIA FEDERAL PARA APURAR O CRIME DE FALSIFICAÇÃO, CORRUPÇÃO E ADULTERAÇÃO DE MEDICAMENTOS, ASSIM COMO SUA VENDA POR MEIO DA INTERNET, QUANDO TIVER REPERCUSSÃO INTERESTADUAL."
"55";"PLC 78/1997";"PL 1889/1996";"ALTERA DISPOSITIVOS DA LEI 8666, DE 21 DE JUNHO DE 1993, QUE          
'REGULAMENTA O ARTIGO 37, INCISO XXI, DA CONSTITUIÇÃO FEDERAL,        
INSTITUI NORMAS PARA LICITAÇÕES E CONTRATOS DA ADMINISTRAÇÃO          
PUBLICA E DA OUTRAS PROVIDENCIAS'.                                    
"
"56";"PLS 381/2011";"PL 8189/2014";"INSTITUI O DIA NACIONAL DA SÍNDROME DE DOWN."
"57";"PLS 394/2011";"PL 5338/2013";"ACRESCENTA O ART. 1.211-D AO CÓDIGO DE PROCESSO CIVIL, PARA CONCEDER PRIORIDADE PROCESSUAL NA TRAMITAÇÃO DO PROCESSO REFERENTE À GUARDA E ADOÇÃO DE CRIANÇA OU ADOLESCENTE ÓRFÃO, ABANDONADO OU ABRIGADO."
"58";"PLS 379/2011";"PLP 115/2015";"ALTERA O PARÁGRAFO ÚNICO DO ART. 64 DA LEI Nº 4.320, DE 17 DE MARÇO DE 1964, PARA DISPOR SOBRE A OBRIGATORIEDADE DE DOCUMENTO COM CÓDIGO DE BARRAS EM TODOS OS PAGAMENTOS REALIZADOS PELA UNIÃO, ESTADOS, DISTRITO FEDERAL E MUNICÍPIOS."
"59";"PLS 383/2011";"PL 3664/2012";"ACRESCENTA DISPOSITIVOS À LEI Nº 11.350, DE 5 DE OUTUBRO DE 2006, QUE DISPÕE SOBRE AS ATIVIDADES DE AGENTE COMUNITÁRIO DE SAÚDE E DE AGENTE DE COMBATE ÀS ENDEMIAS, PARA INCLUIR ATIVIDADES DO AGENTE COMUNITÁRIO DE SAÚDE NA SUA ÁREA DE ATUAÇÃO."
"60";"PEC 68/2011";"PEC 217/2012";"ALTERA O ART. 27 DO ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS PARA CRIAR O TRIBUNAL REGIONAL FEDERAL DA 6ª REGIÃO, EM BELO HORIZONTE, MINAS GERAIS."
"61";"PLS 398/2011";"PL 5628/2013";"CONCEDE ISENÇÃO DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS (IPI) NA AQUISIÇÃO DE INSUMOS, MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS, VEÍCULOS UTILITÁRIOS, TRATORES E CAMINHÕES NOVOS DESTINADOS EXCLUSIVAMENTE AO USO NA AGRICULTURA FAMILIAR CAMPONESA BRASILEIRA, QUANDO ADQUIRIDOS POR AGRICULTOR FAMILIAR CAMPONÊS OU EMPREENDEDOR FAMILIAR RURAL."
"62";"PLS 399/2011";"PL 5021/2013";"ALTERA A LEI Nº 8.427, DE 27 DE MAIO DE 1992, PARA AUTORIZAR A CONCESSÃO DE SUBVENÇÃO ECONÔMICA PARA AGRICULTORES FAMILIARES E EMPREENDEDORES FAMILIARES RURAIS QUE EMPREENDAM PRÁTICAS DE CONSERVAÇÃO AMBIENTAL."
"63";"PLS 402/2011";"PL 7841/2014";"ALTERA A LEI Nº 9.394, DE 20 DE DEZEMBRO DE 1996 (LEI DE DIRETRIZES E BASES DA EDUCAÇÃO), PARA DISPOR SOBRE A REVALIDAÇÃO E O RECONHECIMENTO AUTOMÁTICO DE DIPLOMAS ORIUNDOS DE CURSOS DE INSTITUIÇÕES DE ENSINO SUPERIOR ESTRANGEIRAS DE RECONHECIDA EXCELÊNCIA ACADÊMICA."
"64";"PLC 79/1995";"PL 4228/1993";"ALTERA A REDAÇÃO DO ART. SEGUNDO DA LEI 5698, DE 31 DE AGOSTO DE      
1971, QUE DISPÕE SOBRE AS PRESTAÇÕES DEVIDAS A EX-COMBATENTE          
SEGURADO DA PREVIDENCIA SOCIAL E DA OUTRAS PROVIDENCIAS.              
"
"65";"PLS 406/2011";"PL 4281/2012";"INSTITUI A BOLSA-ARTISTA."
"66";"PLC 79/1996";"PL 465/1995";"DISPÕE SOBRE A OBRIGATORIEDADE DE INDICAÇÃO DO NUMERO TELEFONICO E    
DO ENDEREÇO DO PROCON, POR PARTE DOS ESTABELECIMENTOS COMERCIAIS E    
DE PRESTAÇÃO DE SERVIÇOS.                                             
"
"67";"PLS 416/2011";"PL 3088/2012";"DISPÕE SOBRE OS PROGRAMAS SUPLEMENTARES DA UNIÃO DE SELEÇÃO, AQUISIÇÃO E DISTRIBUIÇÃO DE MATERIAL DIDÁTICO-ESCOLAR PARA A EDUCAÇÃO BÁSICA."
"68";"PLS 417/2011";"PL 3251/2012";"DISPÕE SOBRE O PAGAMENTO EM DOBRO DO SALÁRIO-FAMÍLIA À SEGURADA DO REGIME GERAL DE PREVIDÊNCIA SOCIAL COM FILHO EM IDADE DE ZERO A SEIS ANOS."
"69";"PLS 408/2011";"PL 3595/2012";"ALTERA A LEI Nº 11.664, DE 29 DE ABRIL DE 2008, QUE DISPÕE SOBRE A EFETIVAÇÃO DE AÇÕES DE SAÚDE QUE ASSEGUREM A PREVENÇÃO, A DETECÇÃO, O TRATAMENTO E O SEGUIMENTO DOS CÂNCERES DO COLO UTERINO E DE MAMA, NO ÂMBITO DO SISTEMA ÚNICO DE SAÚDE - SUS, PARA ASSEGURAR O ATENDIMENTO ÀS MULHERES PORTADORAS DE DEFICIÊNCIA."
"70";"PLS 410/2011";"PL 4767/2012";"ALTERA A LEI Nº 8.069, DE 13 DE JULHO DE 1990, QUE DISPÕE SOBRE O ESTATUTO DA CRIANÇA E DO ADOLESCENTE E DÁ OUTRAS PROVIDÊNCIAS, PARA GARANTIR TRATAMENTO ESPECIAL AO ADOLESCENTE VICIADO EM DROGAS."
"71";"PLS 414/2011";"PL 4309/2012";"ALTERA A LEI Nº 8.080, DE 19 DE SETEMBRO DE 1990, QUE DISPÕE SOBRE AS CONDIÇÕES PARA A PROMOÇÃO, PROTEÇÃO E RECUPERAÇÃO DA SAÚDE, A ORGANIZAÇÃO E O FUNCIONAMENTO DOS SERVIÇOS CORRESPONDENTES E DÁ OUTRAS PROVIDÊNCIAS, PARA INCLUIR NO CAMPO DE ATUAÇÃO DO SUS A EXECUÇÃO DE CAMPANHAS SOCIAIS VOLTADAS A PROMOÇÃO DA SAÚDE MENTAL."
"72";"PEC 74/2011";"PEC 132/2015";"ALTERA O § 6º DO ART. 231 DA CONSTITUIÇÃO FEDERAL E ACRESCENTA ART. 67-A AO ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS, PARA PERMITIR A INDENIZAÇÃO DE POSSUIDORES DE TÍTULOS DOMINIAIS RELATIVOS A TERRAS DECLARADAS COMO INDÍGENAS EXPEDIDOS ATÉ O DIA 5 DE OUTUBRO DE 1988."
"73";"PDS 185/2011";"PDC 351/2011";"APROVA A PROGRAMAÇÃO MONETÁRIA PARA O 2º TRIMESTRE DE 2011."
"74";"PLC 80/1995";"PL 4329/1993";"DISPÕE SOBRE A OBRIGATORIEDADE DE INSERÇÃO DE DADOS SOBRE A EDIÇÃO    
NAS PUBLICAÇÕES DE ORGÃOS E ENTIDADES DA ADMINISTRAÇÃO PUBLICA        
FEDERAL.                                                              
"
"75";"PLS 430/2011";"PL 3672/2012";"ALTERA A LEI Nº 9.991, DE 24 DE JULHO DE 2000, PARA DISCIPLINAR A APLICAÇÃO DOS RECURSOS DESTINADOS A PROGRAMAS DE EFICIÊNCIA ENERGÉTICA."
"76";"PLS 432/2011";"PL 3252/2012";"ALTERA A LEI Nº 6.766, DE 19 DE DEZEMBRO DE 1979, QUE DISPÕE SOBRE O PARCELAMENTO DO SOLO URBANO E DÁ OUTRAS PROVIDÊNCIAS, E A LEI Nº 11.445, DE 5 DE JANEIRO DE 2007, QUE ESTABELECE DIRETRIZES NACIONAIS PARA O SANEAMENTO BÁSICO E DÁ OUTRAS PROVIDÊNCIAS, PARA ESTIMULAR A ADOÇÃO DE MEDIDAS VOLTADAS PARA O AMORTECIMENTO E A RETENÇÃO DAS ÁGUAS PLUVIAIS EM ÁREAS URBANAS."
"77";"PLS 434/2011";"PL 8255/2014";"ALTERA A LEI Nº 7.183, DE 5 DE ABRIL DE 1984, PARA MODIFICAR A JORNADA DE TRABALHO DO AERONAUTA."
"78";"PLS 436/2011";"PL 3256/2012";"ALTERA A LEI Nº 8.742, DE 7 DE DEZEMBRO DE 1993 - LEI ORGÂNICA DA ASSISTÊNCIA SOCIAL -, PARA DEFINIR O TERMO ""SITUAÇÃO DE VULNERABILIDADE TEMPORÁRIA"" DE QUE TRATA O SEU ART. 22."
"79";"PLS 441/2011";"PL 5686/2013";"ALTERA A LEI Nº 8.212, DE 24 DE JULHO DE 1991, QUE DISPÕE SOBRE A ORGANIZAÇÃO DA SEGURIDADE SOCIAL, INSTITUI O PLANO DE CUSTEIO, E DÁ OUTRAS PROVIDÊNCIAS PARA DISPOR SOBRE A EXCLUSÃO, DO SALÁRIO-DE-CONTRIBUIÇÃO, DAS DESPESAS DO EMPREGADOR COM EDUCAÇÃO DE SEUS EMPREGADOS E DEPENDENTES."
"80";"PLS 443/2011";"PL 5020/2013";"ALTERA A LEI Nº 11.445, DE 05 DE JANEIRO DE 2007, QUE ESTABELECE DIRETRIZES NACIONAIS PARA O SANEAMENTO BÁSICO E DÁ OUTRAS PROVIDÊNCIAS, PARA DETERMINAR A MEDIÇÃO INDIVIDUALIZADA DO CONSUMO HÍDRICO NAS EDIFICAÇÕES CONDOMINIAIS."
"81";"PLS 442/2011";"PL 8330/2015";"ALTERA A LEI Nº 11.340, DE 7 DE AGOSTO DE 2006 (LEI MARIA DA PENHA), PARA GARANTIR À MULHER VÍTIMA DE VIOLÊNCIA DOMÉSTICA O RECEBIMENTO DE BENEFÍCIO EVENTUAL E A LEI Nº 8.742, DE 7 DE DEZEMBRO DE 1993 (LEI ORGÂNICA DA ASSISTÊNCIA SOCIAL), PARA DEFINIR O TERMO ""SITUAÇÃO DE VULNERABILIDADE TEMPORÁRIA"" DE QUE TRATA O SEU ART. 22."
