"";"NOM_PROPOSICAO_SF";"NOM_PROPOSICAO_CD";"EMENTA"
"18";"PLS 256/2011";"PL 6803/2013";"ALTERA O ART. 80 DA LEI Nº 9.472, DE 16 DE JULHO DE 1997, PARA ESTABELECER OBRIGAÇÕES DE UNIVERSALIZAÇÃO DE SERVIÇOS DE TELECOMUNICAÇÕES ESPECÍFICAS PARA LOCALIDADES DA AMAZÔNIA LEGAL."
"19";"PEC 38/2011";"PEC 424/2014";"REVOGA O INCISO I DO ART. 49, ACRESCENTA INCISO AO ART. 52 E ALTERA A REDAÇÃO DO INCISO VIII DO ART. 84 DA CONSTITUIÇÃO FEDERAL, A FIM DE TORNAR PRIVATIVA DO SENADO FEDERAL A COMPETÊNCIA PARA DECIDIR SOBRE TRATADOS, ACORDOS OU ATOS INTERNACIONAIS."
"20";"PLS 263/2011";"PL 5336/2013";"ACRESCENTA O ART. 6º-A À LEI Nº 9.454, DE 7 DE ABRIL DE 1997, A FIM DE ESTABELECER A GRATUIDADE NA PRIMEIRA EMISSÃO DO DOCUMENTO DE IDENTIFICAÇÃO DO REGISTRO DE IDENTIDADE CIVIL."
"21";"PLS 269/2011";"PL 8329/2015";"ALTERA A LEI Nº 10.741, DE 1º DE OUTUBRO DE 2003, QUE DISPÕE SOBRE O ESTATUTO DO IDOSO E DÁ OUTRAS PROVIDÊNCIAS."
"22";"PLC 70/1995";"PL 383/1991";"REGULAMENTA O EXERCICIO PROFISSIONAL DA ACUPUNTURA E DETERMINA        
OUTRAS PROVIDENCIAS.                                                  
"
"23";"PLS 271/2011";"PL 1668/2011";"ALTERA O ART. 91 DA LEI Nº 9.504, DE 30 DE SETEMBRO DE 1997, PARA VEDAR A TRANSFERÊNCIA DE DOMICÍLIO ELEITORAL POR PREFEITOS E VICE-PREFEITOS DURANTE O EXERCÍCIO DO MANDATO."
"24";"PLS 273/2011";"PL 2394/2011";"ACRESCENTA OS ARTS 13-A E 48-A À LEI Nº 9.096, DE 19 DE SETEMBRO DE 1995, PARA INSTITUIR CLÁUSULA DE DESEMPENHO PARA FINS DE FUNCIONAMENTO PARLAMENTAR E DE ACESSO GRATUITO AO RÁDIO E À TELEVISÃO."
"25";"PEC 43/2011";"PEC 14/2015";"ALTERA O ART. 17 DA CONSTITUIÇÃO FEDERAL, PARA PERMITIR COLIGAÇÕES ELEITORAIS APENAS NAS ELEIÇÕES MAJORITÁRIAS."
"26";"PLS 282/2011";"PL 2184/2011";"ALTERA O CÓDIGO PENAL, PARA PREVER O CRIME DE FORMAÇÃO DE QUADRILHA OU BANDO COM O FIM DE COMETER CRIME CONTRA AGENTE PÚBLICO, NAS HIPÓTESES QUE ESPECIFICA."
"27";"PLS 285/2011";"PL 3997/2012";"ALTERA AS LEIS Nº 8.212 E Nº 8.213, DE 24 DE JULHO DE 1991, PARA INCLUIR O CATADOR DE MATERIAL RECICLÁVEL COMO SEGURADO ESPECIAL DA PREVIDÊNCIA SOCIAL."
